Date,Production,Import,Export,Storage,Consumption,Base Gas,Price,Future1,Future2,Future3,Future4
Jan-2010,2210163,384586,93570,6579900,2809788,4276043,5.83,5.599,5.561,5.532,5.579
Feb-2010,2047815,324124,87820,5960953,2480950,4277619,5.32,5.215,5.211,5.272,5.344
Mar-2010,2276546,318769,99574,5929914,2142925,4277501,4.29,4.301,4.371,4.447,4.536
Apr-2010,2190270,298464,75938,6289473,1691813,4278372,4.03,4.088,4.181,4.3,4.393
May-2010,2236507,297801,85725,6698983,1617274,4279323,4.14,4.155,4.245,4.323,4.39
Jun-2010,2138770,282260,90040,7026700,1649515,4286643,4.8,4.785,4.832,4.876,4.969
Jul-2010,2208753,328655,85851,7253018,1825828,4287238,4.63,4.59,4.592,4.659,4.914
Aug-2010,2235038,304901,84164,7442861,1878926,4290100,4.32,4.22,4.268,4.495,4.753
Sep-2010,2238147,281518,79475,7801450,1637491,4293804,3.89,3.898,4.099,4.35,4.508
Oct-2010,2356947,294744,95974,8155699,1664938,4305058,3.43,3.6,3.958,4.176,4.203
Nov-2010,2276710,273165,123537,8078136,1973294,4309231,3.71,4.042,4.208,4.211,4.179
Dec-2010,2400418,351773,135121,7412447,2714054,4301362,4.25,4.283,4.303,4.291,4.275
Jan-2011,2299298,371919,135721,6608635,2888640,4302792,4.49,4.499,4.497,4.492,4.529
Feb-2011,2104330,311154,125014,6024215,2452403,4302341,4.09,4.036,4.079,4.142,4.203
Mar-2011,2410884,315408,144360,5879115,2230493,4302108,3.97,4.069,4.139,4.207,4.277
Apr-2011,2349720,277936,126374,6092050,1825023,4303570,4.24,4.272,4.333,4.406,4.449
May-2011,2410866,271252,131797,6491219,1667396,4304364,4.31,4.336,4.394,4.436,4.461
Jun-2011,2312943,266617,119470,6831426,1657334,4301779,4.54,4.516,4.544,4.566,4.608
Jul-2011,2340293,293477,113280,7075486,1890515,4300139,4.42,4.353,4.339,4.37,4.499
Aug-2011,2370440,280284,111404,7319424,1891783,4300269,4.06,3.984,3.995,4.137,4.347
Sep-2011,2358169,251846,126744,7716989,1655634,4301291,3.9,3.849,3.954,4.175,4.294
Oct-2011,2502387,282159,109513,8105566,1744454,4301737,3.57,3.624,3.867,4.002,4.015
Nov-2011,2475947,248908,127599,8142609,2031872,4299727,3.24,3.558,3.678,3.694,3.682
Dec-2011,2543747,297733,134374,7763772,2541878,4301752,3.17,3.246,3.284,3.311,3.363
Jan-2012,2571350,281131,130464,7219136,2756180,4309129,2.67,2.708,2.758,2.852,2.922
Feb-2012,2360061,269906,130175,6758315,2500654,4309505,2.51,2.526,2.68,2.79,2.878
Mar-2012,2524260,265152,141164,6794584,2127761,4321454,2.17,2.296,2.404,2.509,2.605
Apr-2012,2417498,243018,123150,6936421,1953071,4325195,1.95,2.048,2.154,2.274,2.35
May-2012,2490707,259023,132979,7219444,1873835,4332383,2.43,2.493,2.569,2.624,2.667
Jun-2012,2376776,259732,125140,7453546,1868356,4338100,2.46,2.498,2.539,2.576,2.676
Jul-2012,2465064,281166,118367,7588106,2069773,4342905,2.95,2.963,2.958,2.994,3.19
Aug-2012,2373954,281350,139248,7753994,2008815,4347859,2.84,2.807,2.848,3.034,3.294
Sep-2012,2410375,257990,137374,8044851,1807208,4351797,2.85,2.918,3.087,3.332,3.463
Oct-2012,2557140,253402,139930,8294299,1901084,4365049,3.32,3.5,3.789,3.911,3.918
Nov-2012,2471365,233853,142299,8171574,2167841,4372359,3.54,3.687,3.801,3.808,3.784
Dec-2012,2523763,252066,158538,7785322,2503907,4372412,3.34,3.444,3.475,3.488,3.513
Jan-2013,2551515,278078,154442,7076700,2878315,4377473,3.33,3.35,3.365,3.403,3.458
Feb-2013,2308285,236875,133003,6483370,2564750,4384016,3.33,3.314,3.37,3.431,3.489
Mar-2013,2542939,248290,148544,6102195,2519434,4382350,3.81,3.773,3.809,3.852,3.897
Apr-2013,2476673,220608,125771,6236406,1964328,4381218,4.17,4.161,4.201,4.245,4.265
May-2013,2529500,234183,142071,6654641,1751112,4385077,4.04,4.068,4.114,4.134,4.133
Jun-2013,2418391,236690,133808,7027246,1739948,4384597,3.83,3.806,3.825,3.825,3.844
Jul-2013,2558593,236199,128612,7302175,1922221,4365315,3.62,3.641,3.645,3.667,3.75
Aug-2013,2540442,236248,130324,7574293,1926441,4362286,3.43,3.413,3.447,3.569,3.74
Sep-2013,2452668,243881,122421,7927601,1765782,4363096,3.62,3.618,3.705,3.858,3.938
Oct-2013,2557444,220430,122406,8181397,1867119,4364401,3.68,3.654,3.789,3.875,3.879
Nov-2013,2512475,218693,113682,7970919,2316272,4365582,3.64,3.64,3.69,3.694,3.683
Dec-2013,2556328,273181,117329,7255027,2914946,4365135,4.24,4.277,4.281,4.249,4.114
Jan-2014,2643943,295323,134807,6288361,3239240,4363439,4.71,4.542,4.425,4.188,4.162
Feb-2014,2373610,245406,138601,5560214,2773153,4360226,6,5.163,4.631,4.556,4.575
Mar-2014,2660800,234300,149649,5207298,2581433,4349988,4.9,4.486,4.456,4.484,4.516
Apr-2014,2581132,200693,121982,5423037,1973192,4356657,4.66,4.608,4.628,4.658,4.653
May-2014,2671448,206706,114163,5900837,1826800,4352892,4.58,4.536,4.542,4.532,4.506
Jun-2014,2600578,201774,120010,6363623,1768609,4358148,4.59,4.594,4.597,4.578,4.578
Jul-2014,2633925,201251,127396,6762808,1903406,4361280,4.05,4.025,4.027,4.038,4.083
Aug-2014,2657476,206540,115381,7135607,1955525,4366291,3.91,3.899,3.932,4.002,4.093
